OrderID,CustomerName,CoffeeType,Quantity,TotalPrice($),OrderTime,PaymentMethod,StoreLocation
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Joshua,Latte,3,13.5,2024-11-30 07:12:11.627286,Cash,Lake Joyside
0822e8f3-6c03-4199-972a-846916419f82,Anthony,Mocha,1,5.0,2024-11-29 11:10:20.393124,Cash,New Jamesside
96da1dac-72ff-4d2a-b86e-cbe06b65a6a4,Joshua,Americano,3,10.5,2025-03-28 05:23:08.609217,Cash,Lake Roberto
f50bea63-371e-4d7b-a7cd-813047229389,Kathryn,Latte,3,13.5,2024-11-08 05:09:47.259523,Mobile Payment,Davisstad
0b1f9163-ce9f-457f-83b7-a3a69a8dca03,Jessica,Iced Latte,1,5.0,2025-01-26 10:22:10.148200,Cash,Millerport
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Michelle,Flat White,1,4.0,2025-02-02 22:30:45.290916,Cash,North Donnaport
3b982ef8-daf6-4a26-946d-3f31fc377a4c,Michelle,Espresso,3,9.0,2024-12-28 22:34:06.174534,Cash,Reidstad
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,Elizabeth,Americano,2,7.0,2025-02-25 15:44:34.448116,Cash,New Cynthiaside
7656af72-29d4-4eef-beab-edcbbaa80dd4,Noah,Iced Latte,3,15.0,2025-04-19 04:01:13.089188,Mobile Payment,Lake Mark
3aa2e4f9-0e51-430d-86a7-ee39c4b032cc,Lydia,Espresso,3,9.0,2025-03-16 11:55:12.305704,Mobile Payment,Adamsborough
e059a0ee-9132-463e-b162-87e4e9c349e0,Jennifer,Americano,3,10.5,2024-11-28 08:50:21.765314,Mobile Payment,Fostermouth
3f22faf8-23be-401d-83cf-2fde24933b83,Julie,Iced Latte,3,15.0,2025-01-26 22:24:44.256230,Credit Card,Hurstfurt
ff5e9ff0-ff50-4de4-b825-67b85cabcc97,Devon,Americano,1,3.5,2025-01-18 15:16:09.479903,Credit Card,Port Danielburgh
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Bryan,Mocha,3,15.0,2024-12-29 05:06:31.347762,Cash,Riceside
ae270da7-02f0-4b90-b143-262fdc5c0eed,Jennifer,Cappuccino,2,8.0,2025-02-21 23:39:06.094329,Mobile Payment,Kaylamouth
287d06ca-6f4c-469a-8b22-d3081c8eaee9,Shawn,Flat White,1,4.0,2025-04-12 15:36:16.739075,Credit Card,Teresaburgh
deda4e16-1b3d-4d5c-a9a1-fa6f81f76d1c,Colleen,Mocha,2,10.0,2025-03-23 04:20:55.686617,Cash,East Nathaniel
c754108f-f418-4f3f-8a14-be62295b4715,Sandra,Americano,2,7.0,2025-04-06 04:52:31.576390,Credit Card,Tracyville
fc3e058b-e0f3-4ab0-9cec-4eb5edd96831,Marie,Latte,2,9.0,2024-12-15 16:29:33.113758,Cash,East Natalieland
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Chad,Flat White,2,8.0,2025-03-08 09:14:08.262318,Cash,East Donna
43dac043-2a45-42ab-8cbf-edb0f264accc,Allison,Macchiato,1,4.2,2025-02-08 06:36:20.085155,Credit Card,New Karina
4fcca39a-b683-42e6-b37e-a2dfb09b2a5c,Raymond,Mocha,1,5.0,2025-02-20 03:44:39.654643,Cash,Samuelhaven
3985c3cf-3f76-4e1d-9efa-21977394988f,Caleb,Cold Brew,2,9.0,2024-10-24 09:34:23.558993,Mobile Payment,New Jeffrey
0f1259e0-a18f-46b6-b535-106e122c9a56,Jeremy,Latte,2,9.0,2025-04-03 19:36:26.330863,Credit Card,Chadbury
36d8393a-7c44-4fe7-ab42-20a7474a493b,Amber,Latte,1,4.5,2025-03-01 14:03:52.212045,Mobile Payment,Sanchezfort
1825bc54-30be-445f-a835-14f2ceb81f9d,Collin,Mocha,1,5.0,2025-01-07 05:38:38.900627,Mobile Payment,Jenkinston
a56c0941-fbf2-4050-a748-dbcfac619e63,Corey,Macchiato,1,4.2,2025-01-02 01:06:27.105764,Mobile Payment,Laurenville
894a05e4-30b1-47ef-b10c-0c003fa7f104,Shane,Americano,3,10.5,2025-01-05 13:28:37.708383,Mobile Payment,Stevenland
db20a56e-dc81-4fe7-8eda-8bbb71710434,Andrea,Latte,3,13.5,2024-10-29 19:02:03.196582,Cash,North Sarabury
7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,Jason,Americano,3,10.5,2025-01-01 18:10:55.330545,Credit Card,East Nicholasfurt
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Spencer,Latte,2,9.0,2025-01-05 18:24:31.996029,Cash,Mooreport
944528c0-0ef8-42d6-b7fd-564637bb3eec,Jill,Latte,3,13.5,2024-10-31 16:27:23.321725,Credit Card,Brianshire
da4bd9ca-eb5c-4467-80ba-cd647a0ecfea,Amanda,Mocha,2,10.0,2024-10-30 22:35:34.501076,Credit Card,Port Jacobland
675dd5af-3c36-4296-9ca0-2eecacdabacc,David,Macchiato,2,8.4,2025-04-01 01:19:07.785672,Cash,New Brooke
a8499b92-6b52-42e3-94fc-dd549e8fc965,Brandy,Macchiato,3,12.6,2025-01-23 23:28:20.227040,Credit Card,Jamesmouth
21813d25-6552-48a6-83ff-50113d1a85dd,Emily,Americano,2,7.0,2024-12-14 07:33:51.349221,Mobile Payment,Sarahland
ff9ab5c2-9f04-4aed-b552-332702627f73,Anna,Mocha,3,15.0,2024-11-07 19:23:56.100641,Mobile Payment,New Joseph
119c4ea3-e180-4081-9958-a499eeea163e,Natasha,Latte,3,13.5,2024-12-27 00:08:20.678044,Mobile Payment,South Martha
fbddcf7c-9c96-49ec-8d71-c366b41b3143,Vanessa,Cappuccino,1,4.0,2025-02-16 22:09:47.648740,Mobile Payment,Lake Lisaport
f05db76e-1a84-451a-a9d3-d7c7ee87905e,Natalie,Americano,3,10.5,2024-12-07 19:55:14.647121,Cash,Lake Angelaview
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Matthew,Cold Brew,1,4.5,2025-02-23 01:00:01.721978,Credit Card,Williamview
0d01280f-d89a-40c0-a87d-1c78e7c421c7,Christopher,Mocha,3,15.0,2025-01-05 20:53:53.720720,Mobile Payment,Bradleymouth
fad409e2-a319-4cb4-a17d-65a0c56811cd,Jose,Iced Latte,3,15.0,2025-03-04 20:22:48.809840,Cash,Hoffmanville
b0e6a969-e213-42b0-b1ee-dba313432e61,Rebecca,Macchiato,1,4.2,2025-01-28 03:22:49.460212,Cash,Brandiberg
4eea04e7-0ab5-4bde-a0a0-45026e068097,Michael,Americano,1,3.5,2025-04-08 20:48:23.125972,Cash,West Jasonbury
c7b5b2bc-5a8a-4eca-9a50-aec3aabc25fa,Anita,Macchiato,3,12.6,2025-03-29 05:05:40.728382,Credit Card,East Michelle
2d534dd0-cf8e-4c5a-8cc5-6569f9e8a369,Nicole,Mocha,2,10.0,2024-10-25 02:00:33.185244,Cash,Kimberlychester
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Lisa,Americano,1,3.5,2024-12-08 06:10:12.469152,Mobile Payment,South Monicafort
eb1fa9f2-d10b-41d0-b317-347038f16a81,Steven,Macchiato,2,8.4,2024-12-15 06:18:55.966014,Cash,East Andrew
475287aa-5408-49ac-a601-ddd03170f437,Michelle,Cold Brew,2,9.0,2025-04-15 00:52:17.177006,Credit Card,Michaelhaven
d7fa2d8d-fb2c-4025-adf4-e62d6651529e,Amanda,Cold Brew,2,9.0,2025-04-09 23:44:33.230419,Cash,West Gregoryview
6f3f920c-98b8-44cc-9bc0-44fc09cb3942,Michael,Mocha,1,5.0,2025-03-13 02:21:57.461807,Cash,Obrienhaven
939b462d-e645-4129-a29c-2ae31d9af659,James,Americano,2,7.0,2024-10-28 15:52:02.563520,Mobile Payment,Smithside
bdf070aa-f0b5-456b-b82c-9074afd5dea5,Jillian,Iced Latte,1,5.0,2024-11-25 12:32:29.392379,Mobile Payment,Jonesmouth
d9178793-a9d3-42e6-905c-c6869f871ce7,David,Mocha,2,10.0,2025-04-02 20:04:12.776742,Mobile Payment,Elizabethmouth
8dedf9fb-4bb0-4f20-b27c-40266703b636,David,Flat White,3,12.0,2025-01-05 07:11:23.322196,Mobile Payment,Byrdburgh
67f48ad5-4d0b-4d1a-91b0-e1d99d9262af,Amy,Flat White,3,12.0,2024-10-20 15:12:40.558611,Credit Card,Jasonshire
77097749-527e-4cfa-a79a-c9aa9b4e2c24,Scott,Americano,1,3.5,2025-02-20 21:00:16.696800,Cash,Leonburgh
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Elizabeth,Iced Latte,3,15.0,2025-02-10 14:05:33.461626,Credit Card,Port Stephaniebury
ce7ae7f6-3982-4cff-8f77-a665ac3c5640,James,Latte,3,13.5,2024-10-25 00:25:40.720747,Cash,South Cheryl
6a18ce4c-7496-4764-92a4-def0c4bbb7a9,Olivia,Latte,2,9.0,2025-02-02 15:08:52.501200,Cash,Snyderbury
016b6287-b008-45cc-a7f3-6ae925c73c44,Patricia,Cappuccino,1,4.0,2025-03-26 14:34:32.676879,Mobile Payment,Port Ronaldburgh
8498e113-b227-462c-b53d-4330cdda24ba,Steven,Flat White,2,8.0,2025-01-30 07:08:16.757531,Mobile Payment,South Dennismouth
8f15ba58-fce6-4504-87f8-424daae65fc1,Caitlin,Latte,2,9.0,2025-04-11 23:03:45.214375,Credit Card,Salazarhaven
8c41561b-e827-41b9-94a0-2e536d3ee1dc,Sean,Flat White,2,8.0,2024-11-18 14:37:15.911002,Mobile Payment,Colebury
c40c5d91-46fd-4062-a33d-c7afd701410d,Kimberly,Cold Brew,2,9.0,2025-01-17 00:12:02.148809,Mobile Payment,West Scott
458f1f19-3c07-4574-8925-7af1b6aae05b,Matthew,Mocha,2,10.0,2025-04-01 13:19:09.249805,Mobile Payment,East Edwardfurt
36c59dac-b4d7-428e-a71e-3ee2b1a6b1f1,Caleb,Espresso,2,6.0,2025-01-02 22:54:50.192614,Mobile Payment,Perryborough
e7a37e81-63b4-408b-ab8e-869fd5385b0e,Kayla,Latte,2,9.0,2025-04-11 05:38:19.940843,Mobile Payment,Port Nicoleshire
f1578470-0182-47c4-ba1b-58066160a6b4,Michael,Iced Latte,1,5.0,2025-03-07 02:00:56.776953,Credit Card,Medinaside
3875394c-e5d6-46e6-9a6e-c2f5ccc42903,Tracy,Macchiato,3,12.6,2024-12-09 09:01:14.628102,Cash,Johnsonmouth
67814c1f-cc53-4e36-addc-3e13ab3b4d37,Jennifer,Mocha,2,10.0,2025-03-22 23:15:04.688956,Credit Card,New Amanda
907bfe36-9786-48f8-a4de-82e6e82c7d7b,Elizabeth,Cappuccino,2,8.0,2024-11-04 21:09:47.644585,Credit Card,Taylormouth
610cf373-4299-4aa4-8cdf-742b2e85cb21,Mark,Espresso,2,6.0,2025-01-11 13:14:03.677294,Mobile Payment,Kathleenfurt
d4f8fd72-f382-4cfd-8083-b73a473bd358,Robert,Mocha,2,10.0,2025-03-21 22:44:37.032395,Mobile Payment,Smithside
59970043-f3b1-425b-bff9-f5850d557b61,Jeffrey,Cappuccino,2,8.0,2024-11-02 02:00:52.037843,Mobile Payment,Port Anthonybury
9f0fda8d-0537-4ff6-96d7-b3b833094d35,Elijah,Latte,2,9.0,2024-11-12 14:20:29.441661,Mobile Payment,New Staciemouth
5e6fea07-c453-4f1d-8199-2fdfb31022f0,Gary,Mocha,3,15.0,2025-02-08 09:28:06.807342,Mobile Payment,Port Loriport
edcb8cb6-0692-4c63-9424-aed51bac5c15,Larry,Iced Latte,3,15.0,2025-02-21 04:32:21.475169,Mobile Payment,Sandersborough
d4a057a7-b0cc-4b3b-9793-b9b413748146,Courtney,Americano,2,7.0,2024-11-08 03:48:34.869728,Cash,Melissaville
c85aca46-90e0-44a0-bbdd-3933cbd58bf6,Blake,Macchiato,3,12.6,2025-01-25 19:06:46.611840,Cash,Caseymouth
d284476c-6b88-483d-997d-c9cd033d2bce,Tracy,Iced Latte,1,5.0,2025-01-07 16:28:25.120543,Mobile Payment,Cynthiamouth
2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,Jessica,Espresso,2,6.0,2025-04-14 18:40:17.132770,Mobile Payment,Christinaside
6f81cf4f-7701-47bb-bbc6-7e1fc64ee6e3,Margaret,Macchiato,1,4.2,2025-02-05 16:45:22.589538,Credit Card,Melissaland
3e6dd58b-7367-428d-a1b2-94de4767d76c,Karen,Espresso,1,3.0,2025-02-01 13:38:52.897474,Cash,Rogersfort
7cd0129d-2e8d-4e87-9334-20e6d9d80b8d,Jason,Macchiato,2,8.4,2025-03-15 04:19:18.256778,Credit Card,Joshuaview
f2b43abf-8441-4efd-8299-436a8e485223,James,Americano,3,10.5,2024-12-03 14:41:18.265532,Cash,Freemanbury
b63b4dc3-a559-4463-b9e1-3ceab0cbc61f,Travis,Americano,1,3.5,2025-03-14 06:51:34.652707,Mobile Payment,West Jeffreybury
5e781fd7-94e0-43ba-a9f9-48b24e6384bb,Thomas,Latte,2,9.0,2025-01-25 11:07:33.443403,Cash,Barajasside
7428a656-b3ee-4d3b-9a10-412954aebd1b,Joseph,Cold Brew,1,4.5,2024-12-05 10:42:06.591889,Cash,Lake Jamesville
c31edbbc-f36c-462b-892e-6161be2d740a,Hannah,Iced Latte,1,5.0,2024-11-24 12:28:28.045232,Cash,Hillshire
98c7472a-864e-4a13-829c-fc0cfa02eaec,Justin,Cappuccino,1,4.0,2024-11-07 21:47:08.381490,Mobile Payment,West Jeremy
b540b30e-039f-4a25-8d61-68bd2defe193,Amanda,Cold Brew,1,4.5,2024-12-09 15:02:54.010691,Mobile Payment,New Kellyberg
7daa39f0-c0b6-4ce2-9e53-790aa34b6cf6,Curtis,Cappuccino,3,12.0,2024-10-22 19:09:41.075042,Credit Card,Taylormouth
0d270659-f72a-4a9b-af32-751e5738811d,Johnny,Iced Latte,1,5.0,2025-03-26 20:11:35.763530,Mobile Payment,Port Cameronfort
afbb411a-a123-4a8c-93b7-a88612f70c97,Brian,Flat White,1,4.0,2024-11-16 18:59:24.325407,Cash,Christopherbury
6a8a616f-c3b2-40d0-8edd-dfcd1e52d770,Catherine,Iced Latte,1,5.0,2025-03-13 21:15:26.805125,Mobile Payment,Port Alexandra
4c1f55ab-7156-49ee-a893-be3d7354ea6f,Michelle,Americano,3,10.5,2025-04-19 06:14:42.689059,Mobile Payment,Ashleyton
19675f06-bd76-4e35-b5c9-b0479c10c572,Stacey,Mocha,1,5.0,2024-11-27 11:38:37.756527,Credit Card,West Donna
8d4f5d27-2c7f-4b79-bd67-cde92834e4c0,Charles,Macchiato,1,4.2,2024-10-21 01:09:14.417651,Credit Card,Norrisfort
49c13de7-3b42-46c5-885b-15fb4a8ff810,Jasmine,Iced Latte,3,15.0,2025-02-25 20:51:21.578522,Credit Card,Jonesbury
ca8f3653-c9af-48f8-83b9-da13ec856f37,Colleen,Latte,3,13.5,2025-02-18 05:43:55.744010,Cash,South Danny
e88da719-2624-4b40-a5cb-63a2398d1ca6,Joseph,Americano,3,10.5,2024-11-15 12:29:46.533177,Cash,East Laurashire
1fd5a423-706c-4c56-89e2-623debd34616,Taylor,Macchiato,1,4.2,2024-12-15 01:29:54.362087,Cash,Benderhaven
1497d658-7010-4719-be69-5d0d8a3c3b5e,Carly,Iced Latte,3,15.0,2025-03-31 21:31:56.041116,Cash,Cassandratown
ac9ed156-f63f-4e41-ba9a-ca5e176132ed,Mary,Americano,3,10.5,2025-02-02 13:04:52.498241,Cash,Port Emilyview
c19ad58c-c35b-4c8c-8a4c-9f7f9384ec2b,Gregory,Latte,1,4.5,2025-01-23 06:44:37.614210,Mobile Payment,Moonburgh
a2814044-6f96-4882-95d8-2980ff37d19c,Lisa,Espresso,3,9.0,2025-04-15 10:21:36.489732,Cash,Baileymouth
db946570-1ac7-4ec0-ab8d-deb45230dfbd,Eugene,Latte,1,4.5,2025-01-03 16:38:10.098489,Cash,Robertsfurt
0964fbbf-8cd3-41b0-82b0-1cfdd045dd1c,Shawn,Macchiato,2,8.4,2024-12-16 23:10:09.019907,Cash,Darrellfurt
fcf56188-d32e-4dcd-83bc-9478dd6ac7b8,Aaron,Iced Latte,3,15.0,2025-03-28 05:40:47.759781,Cash,Gutierrezborough
